ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1446,17008659,,,,Misdemeanor,2019/09/25,2019/10/03,N,8,Convicted,Concluded,Convicted,DUI
1447,18018543,,,,Misdemeanor,2019/09/30,2019/10/04,N,4,Convicted,Concluded,Convicted,DUI
1448,19007345,,,,Misdemeanor,2019/09/30,2019/10/07,N,7,Convicted,Concluded,Convicted,DUI
1451,19003313,,,,Felony,2019/09/30,2019/10/10,N,10,Not Convicted,Not Concluded,Mistrial,Hit and Run
1452,19003202,,,,Felony,2019/09/30,2019/10/16,N,16,Convicted,Concluded,Convicted,Assault-Felony
1450,19005762,,,,Misdemeanor,2019/10/03,2019/10/09,N,6,Convicted,Concluded,Convicted,DUI
1455,19005576,,,,CV,2019/10/04,2019/10/18,N,14,Convicted,Concluded,Convicted,Conversion
1453,2515551,,,,Misdemeanor,2019/10/07,2019/10/17,N,10,Convicted,Concluded,Convicted,DUI
1468,17002439,,,,Felony,2019/10/10,2019/11/06,N,27,Convicted,Concluded,Convicted,Homicide
1459,18005581,,,,Felony,2019/10/11,2019/10/25,N,14,Convicted,Concluded,Convicted,Assault-Felony
1460,19006242,,,,Misdemeanor,2019/10/11,2019/10/25,N,14,Convicted,Concluded,Convicted,DUI
1454,19008244,,,,Misdemeanor,2019/10/15,2019/10/18,N,3,Convicted,Concluded,Convicted,DUI
1456,19012194,,,,Misdemeanor,2019/10/16,2019/10/21,N,5,Convicted,Concluded,Convicted,DUI
1457,18008989,,,,Felony,2019/10/17,2019/10/23,N,6,Not Convicted,Concluded,Not Convicted,Animal Cruelty
1458,19003321,,,,Felony,2019/10/17,2019/10/24,N,7,Convicted,Concluded,Convicted,Assault-Felony
1461,2517516,,,,Misdemeanor,2019/10/21,2019/10/28,N,7,Not Convicted,Not Concluded,Mistrial,DUI
1463,17011185,,,,Misdemeanor,2019/10/21,2019/10/28,N,7,Convicted,Concluded,Convicted,DUI
1466,2515999,,,,Misdemeanor,2019/10/21,2019/10/30,N,9,Not Convicted,Concluded,Not Convicted,DUI
1464,2517132,,,,Misdemeanor,2019/10/22,2019/10/28,N,6,Convicted,Concluded,Convicted,DUI
1472,19009528,,,,Misdemeanor,2019/10/22,2019/11/13,N,22,Convicted,Concluded,Convicted,Assault-Misdemean
1462,17002833,,,,Misdemeanor,2019/10/23,2019/10/28,N,5,Convicted,Concluded,Convicted,DUI
1465,19011239,,,,Felony,2019/10/23,2019/10/29,N,6,Convicted,Concluded,Convicted,Burglary-Resident
