ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
995,17002444,,,,Misdemeanor,2017/12/26,2017/12/28,N,2,Convicted,Concluded,Convicted,Sexual Assault
996,1925047,,,,CV,2018/01/04,2018/01/08,N,4,Not Convicted,Not Concluded,Mistrial,NA
997,17012637,,,,Misdemeanor,2018/01/04,2018/01/10,N,6,Convicted,Concluded,Convicted,DUI
998,17017686,,,,Misdemeanor,2018/01/09,2018/01/11,N,2,Convicted,Concluded,Convicted,Theft- Non-Auto
999,16022643,,,,Misdemeanor,2018/01/08,2018/01/11,N,3,Convicted,Concluded,Convicted,DUI
1000,17001528,,,,Misdemeanor,2018/01/08,2018/01/12,N,4,Convicted,Concluded,Convicted,Vandalism
1001,2492979,,,,Misdemeanor,2017/12/14,2018/01/16,N,33,Not Convicted,Concluded,Not Convicted,Vehicular Homicid
1002,17009761,,,,Misdemeanor,2018/01/16,2018/01/17,N,1,Not Convicted,Concluded,Not Convicted,Vandalism
1003,17005816,,,,Felony,2018/01/08,2018/01/17,N,9,Convicted,Concluded,Convicted,Narcotics
1004,2495720,,,,Misdemeanor,2018/01/10,2018/01/22,N,12,Convicted,Concluded,Convicted,DUI
1005,17014849,,,,Felony,2018/01/09,2018/01/23,N,14,Convicted,Concluded,Convicted,Hate Crimes
1006,13034822,,,,Felony,2018/01/04,2018/01/25,N,21,Convicted,Concluded,Convicted,Sexual Assault
1007,2506291,,,,Misdemeanor,2018/01/24,2018/01/26,N,2,Convicted,Concluded,Convicted,Indecent Exposure
1008,17011854,,,,Felony,2018/01/23,2018/01/30,N,7,Not Convicted,Not Concluded,Mistrial,Burglary-Resident
1009,17015365,,,,Felony,2018/01/19,2018/01/30,N,11,Convicted,Concluded,Convicted,Theft-Non Auto
1010,15012609,,,,Misdemeanor,2018/01/23,2018/01/30,N,7,Convicted,Concluded,Convicted,Assault-Misdemean
1011,17012904,,,,Misdemeanor,2018/01/24,2018/01/31,N,7,Convicted,Concluded,Convicted,DUI
1012,17014715,,,,Misdemeanor,2018/01/26,2018/01/31,N,5,Not Convicted,Concluded,Not Convicted,Vandalism
1013,17011680,,,,Felony,2018/01/30,2018/02/01,N,2,Convicted,Concluded,Convicted,Assault-Felony
1014,17018963,,,,Misdemeanor,2018/01/29,2018/02/01,N,3,Convicted,Concluded,Convicted,Stay Away Violati
1015,17013083,,,,Felony,2018/01/30,2018/02/01,N,2,Convicted,Concluded,Convicted,Burglary-Auto
1016,17005157,16014853,,,Misdemeanor,2018/01/23,2018/02/01,N,9,Convicted,Concluded,Convicted,Stay Away Violati
1017,17003614,,,,Misdemeanor,2018/01/29,2018/02/02,N,4,Not Convicted,Not Concluded,Mistrial,DUI
1018,17001916,,,,Misdemeanor,2018/01/22,2018/02/02,N,11,Not Convicted,Concluded,Not Convicted,DUI
1019,16007879,,,,Misdemeanor,2018/02/06,2018/02/08,N,2,Convicted,Concluded,Convicted,DUI
1020,17008836,,,,Misdemeanor,2018/01/29,2018/02/08,N,10,Convicted,Concluded,Convicted,Assault-Misdemean
1021,16013351,,,,Felony,2018/02/01,2018/02/13,N,12,Not Convicted,Concluded,Not Convicted,Robbery 2nd Degre
1022,17007131,,,,Misdemeanor,2018/01/25,2018/02/13,N,19,Convicted,Concluded,Convicted,DUI
1023,16010920,,,,Felony,2018/01/02,2018/02/14,Y,43,Convicted,Concluded,Convicted,Homicide
1024,17016917,,,,Misdemeanor,2018/02/06,2018/02/14,N,8,Convicted,Concluded,Convicted,DUI
1025,16010921,,,,Felony,2018/01/02,2018/02/14,Y,43,Convicted,Concluded,Convicted,Homicide
1026,14015097,,,,Felony,2017/11/13,2018/02/16,N,95,Convicted,Concluded,Convicted,Child Sexual Abus
1027,16018752,,,,Misdemeanor,2018/02/05,2018/02/16,N,11,Convicted,Concluded,Convicted,DUI
1028,14015097,,,,Felony,2017/12/11,2018/02/16,N,67,Convicted,Concluded,Convicted,Child Sexual Abus
1029,14015097,,,,Felony,2018/01/03,2018/02/16,N,44,Convicted,Concluded,Convicted,Child Sexual Abus
1030,16009508,,,,Misdemeanor,2018/02/07,2018/02/21,N,14,Convicted,Concluded,Convicted,Child Physical Ab
1031,17013053,,,,Misdemeanor,2018/02/15,2018/02/22,N,7,Convicted,Concluded,Convicted,DUI
1032,17014719,,,,Misdemeanor,2018/02/15,2018/02/22,N,7,Convicted,Concluded,Convicted,DUI
1033,16020754,,,,Misdemeanor,2018/02/20,2018/02/22,N,2,Not Convicted,Concluded,Not Convicted,Fraud
1034,17008546,,,,Misdemeanor,2018/02/14,2018/02/23,N,9,Convicted,Concluded,Convicted,Assault-Misdemean
1035,2500358,,,,Misdemeanor,2018/02/21,2018/02/26,N,5,Convicted,Concluded,Convicted,Vandalism
1036,17007687,,,,Misdemeanor,2018/02/16,2018/02/27,N,11,Convicted,Concluded,Convicted,Assault-Misdemean
1037,16000693,,,,Felony,2018/02/13,2018/02/27,N,14,Convicted,Concluded,Convicted,Child Sexual Abus
1038,17012846,,,,Felony,2018/02/22,2018/02/27,N,5,Not Convicted,Not Concluded,Mistrial,Burglary-Resident
1039,17014088,,,,Felony,2018/02/20,2018/02/27,N,7,Not Convicted,Concluded,Not Convicted,Robbery 2nd Degre
1040,17015578,,,,Felony,2018/02/20,2018/02/28,N,8,Convicted,Concluded,Convicted,Narcotics
1041,17009749,,,,Misdemeanor,2018/02/20,2018/02/28,N,8,Not Convicted,Not Concluded,Mistrial,Threats
1042,17001437,,,,Misdemeanor,2018/02/26,2018/03/02,N,4,Convicted,Concluded,Convicted,DUI
1043,2506505,,,,Misdemeanor,2018/02/26,2018/03/05,N,7,Not Convicted,Not Concluded,Mistrial,Gun-Misdemeanor
1044,17004011,,,,Misdemeanor,2018/02/06,2018/03/05,N,27,Convicted,Concluded,Convicted,Stay Away Violati
1045,15025600,,,,Felony,2018/02/07,2018/03/08,N,29,Convicted,Concluded,Convicted,Attempted Homicid
1046,17001053,,,,Misdemeanor,2018/02/27,2018/03/12,N,13,Convicted,Concluded,Convicted,DUI
1047,18002015,,,,Misdemeanor,2018/03/08,2018/03/12,N,4,Convicted,Concluded,Convicted,Assault-Misdemean
1048,17012706,,,,Felony,2018/02/21,2018/03/12,N,19,Convicted,Concluded,Convicted,Assault-Felony
1049,15026233,,,,Misdemeanor,2018/02/27,2018/03/13,N,14,Not Convicted,Not Concluded,Mistrial,DUI
1050,17014350,,,,Felony,2018/02/27,2018/03/14,N,15,Convicted,Concluded,Convicted,Assault-Felony
1051,17014639,,,,Felony,2018/03/06,2018/03/14,N,8,Convicted,Concluded,Convicted,Robbery 2nd Degre
1052,15026523,,,,Felony,2018/03/06,2018/03/15,N,9,Convicted,Concluded,Convicted,Hit and Run
1053,2502061,,,,Misdemeanor,2018/03/07,2018/03/16,N,9,Not Convicted,Not Concluded,Mistrial,Gun-Misdemeanor
1054,2506717,,,,Misdemeanor,2018/03/13,2018/03/16,N,3,Convicted,Concluded,Convicted,DUI
1055,2502061,,,,Misdemeanor,2018/03/05,2018/03/16,N,11,Not Convicted,Not Concluded,Mistrial,Gun-Misdemeanor
1056,17009200,,,,Misdemeanor,2018/03/13,2018/03/20,N,7,Convicted,Concluded,Convicted,DUI
1057,14029759,,,,Felony,2018/03/20,2018/03/22,N,2,Convicted,Concluded,Convicted,Homicide
1058,2506548,,,,Misdemeanor,2018/03/19,2018/03/22,N,3,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
